experiment,epoch,image_index,ground_truth,center_prediction,center_confidence,center_correct,lambda_min,lambda_max,anisotropy,mean_magnitude_cosine_distance,max_magnitude_cosine_distance,mean_signed_cosine_distance,max_signed_cosine_distance,prediction_stability
sgd_nesterov,150,0,3,3,0.9292861223220825,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.00023074064888456425,0.0003200375244027942,0.00023074064888456425,0.0003200375244027942,1.0
sgd_nesterov,150,1,8,8,0.9956547021865845,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,2.0894897136247703e-05,2.47469630065833e-05,2.0894897136247703e-05,2.47469630065833e-05,1.0
sgd_nesterov,150,2,8,8,0.8074229955673218,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,3.6592624033049415e-05,4.883894928442434e-05,3.6592624033049415e-05,4.883894928442434e-05,1.0
sgd_nesterov,150,3,0,8,0.8440703749656677,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.002864616467714881,0.004083844379948687,0.002864616467714881,0.004083844379948687,1.0
sgd_nesterov,150,4,6,6,0.9453420639038086,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0001115671540331542,0.00015620209562183796,0.0001115671540331542,0.00015620209562183796,1.0
sgd_nesterov,150,5,6,6,0.6186829805374146,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,5.058851791792107e-05,8.503671433512938e-05,5.058851791792107e-05,8.503671433512938e-05,1.0
sgd_nesterov,150,6,1,1,0.9073359966278076,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0001413703498973351,0.00023518584316339908,0.0001413703498973351,0.00023518584316339908,1.0
sgd_nesterov,150,8,3,3,0.8762011528015137,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0005072875324712289,0.000661210677685653,0.0005072875324712289,0.000661210677685653,1.0
sgd_nesterov,150,9,1,9,0.5431092977523804,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0008209850378451122,0.0013098893956910995,0.0008209850378451122,0.0013098893956910995,1.0
sgd_nesterov,150,10,0,0,0.8610628843307495,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0010116201758886278,0.00276847341958264,0.0010116201758886278,0.00276847341958264,1.0
sgd_nesterov,150,11,9,9,0.996954083442688,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,4.039345943523953e-05,5.146350734486216e-05,4.039345943523953e-05,5.146350734486216e-05,1.0
sgd_nesterov,150,12,5,7,0.5288317799568176,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0005261133299718779,0.000770153511700955,0.0005261133299718779,0.000770153511700955,1.0
sgd_nesterov,150,13,7,7,0.8420771956443787,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.004217064832447159,0.009773632964721113,0.004217064832447159,0.009773632964721113,1.0
sgd_nesterov,150,14,9,9,0.9644408226013184,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.00011096842081587122,0.00022117174873426126,0.00011096842081587122,0.00022117174873426126,1.0
sgd_nesterov,150,16,5,5,0.9048601984977722,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0001298553264952873,0.00024040503082067843,0.0001298553264952873,0.00024040503082067843,1.0
sgd_nesterov,150,17,7,7,0.8411287069320679,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0003368159053906139,0.0006731309458870571,0.0003368159053906139,0.0006731309458870571,1.0
sgd_nesterov,150,22,4,6,0.5189898610115051,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0004068958218170493,0.0006464824765627375,0.0004068958218170493,0.0006464824765627375,1.0
sgd_nesterov,150,25,2,2,0.7636433839797974,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0001861847499366187,0.00023359863752492327,0.0001861847499366187,0.00023359863752492327,1.0
sgd_nesterov,150,26,4,4,0.6953972578048706,1,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.0006095284359107223,0.0006986848199643791,0.0006095284359107223,0.0006986848199643791,1.0
sgd_nesterov,150,35,2,3,0.3756871223449707,0,1.8994209183599533,2.4906042204950194,1.3112439672642549,0.04526156618292135,0.09009082364606036,0.04526156618292135,0.09009082364606036,1.0
sgd_nesterov,300,0,3,3,0.9985817670822144,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.00037932242443661224,0.0006071788280240797,0.00037932242443661224,0.0006071788280240797,1.0
sgd_nesterov,300,1,8,8,0.999721348285675,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0007477606711488727,0.001435650026395341,0.0007477606711488727,0.001435650026395341,1.0
sgd_nesterov,300,2,8,8,0.5585370659828186,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0017350697574245177,0.0039906083173513185,0.0017350697574245177,0.0039906083173513185,0.5
sgd_nesterov,300,3,0,0,0.9221565127372742,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0014876580714337229,0.0020708698521219038,0.0014876580714337229,0.0020708698521219038,1.0
sgd_nesterov,300,4,6,6,0.9996182918548584,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0010147167712228622,0.0016624224051847714,0.0010147167712228622,0.0016624224051847714,1.0
sgd_nesterov,300,5,6,6,0.9951744675636292,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0015783011343909747,0.0019247726659490372,0.0015783011343909747,0.0019247726659490372,1.0
sgd_nesterov,300,6,1,1,0.9654215574264526,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0015813195707670702,0.004120383787545756,0.0015813195707670702,0.004120383787545756,1.0
sgd_nesterov,300,8,3,3,0.9992873072624207,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.00045162256937505973,0.0006656267194645737,0.00045162256937505973,0.0006656267194645737,1.0
sgd_nesterov,300,9,1,1,0.9655452370643616,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0022669309572566076,0.004095522749733127,0.0022669309572566076,0.004095522749733127,1.0
sgd_nesterov,300,10,0,0,0.9997683167457581,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0004476093277706594,0.0009309892295095157,0.0004476093277706594,0.0009309892295095157,1.0
sgd_nesterov,300,11,9,9,0.9991366267204285,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.00022434298115714402,0.000361957257885015,0.00022434298115714402,0.000361957257885015,1.0
sgd_nesterov,300,12,5,5,0.9966110587120056,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0011937689008826025,0.001667217524509823,0.0011937689008826025,0.001667217524509823,1.0
sgd_nesterov,300,13,7,7,0.9994152784347534,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0006380730845107208,0.00105795874297121,0.0006380730845107208,0.00105795874297121,1.0
sgd_nesterov,300,14,9,9,0.9990344047546387,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0003595690597555934,0.0006994739400516536,0.0003595690597555934,0.0006994739400516536,1.0
sgd_nesterov,300,16,5,5,0.9978995323181152,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0006011657613967936,0.0010409013273787737,0.0006011657613967936,0.0010409013273787737,1.0
sgd_nesterov,300,17,7,7,0.9995680451393127,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.0008024023367963484,0.0014458064926972103,0.0008024023367963484,0.0014458064926972103,1.0
sgd_nesterov,300,22,4,4,0.737756073474884,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.01686370194267872,0.0390144896800938,0.01686370194267872,0.0390144896800938,0.75
sgd_nesterov,300,25,2,2,0.9495157599449158,1,2.7441205131925277,4.0756760490022845,1.485239452643651,0.004360196278613532,0.005895874737380291,0.004360196278613532,0.005895874737380291,1.0
sgd_nesterov,300,26,4,3,0.835159182548523,0,2.7441205131925277,4.0756760490022845,1.485239452643651,0.002696498497377686,0.005119991843393179,0.002696498497377686,0.005119991843393179,1.0
sgd_nesterov,300,35,2,3,0.6512659788131714,0,2.7441205131925277,4.0756760490022845,1.485239452643651,0.02691209830155203,0.043577357409596784,0.02691209830155203,0.043577357409596784,1.0
